회사명,종목코드,업종,업종2,업종PER,PER,PBR
럭슬,033600,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
KD,044180,건물 건설업,건설,7.01,6.20,0.63
이글벳,044960,기타 전문 도매업,제약,99.58,55.57,2.74
아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업","섬유,의류,신발,호화품",33.35,16.94,0.49
두산중공업,034020,일반 목적용 기계 제조업,기계,-29.49,N/A,N/A
오리콤,010470,광고업,광고,18.53,32.92,0.81
위닉스,044340,가정용 기기 제조업,가정용기기와용품,15.82,11.77,2.25
상지카일룸,042940,건물 건설업,건설,7.01,N/A,N/A
한국내화,010040,"내화, 비내화 요업제품 제조업",비철금속,21.86,100.00,0.62
엔피케이,048830,합성고무 및 플라스틱 물질 제조업,화학,69.00,N/A,N/A
삼천당제약,000250,의약품 제조업,제약,99.58,N/A,N/A
에이치케이,044780,특수 목적용 기계 제조업,기계,-29.49,53.79,0.66
정원엔시스,045510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,N/A,N/A
한양이엔지,045100,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설,7.01,6.84,0.81
누리텔레콤,040160,소프트웨어 개발 및 공급업,소프트웨어,86.51,8.07,1.36
에쎈테크,043340,일반 목적용 기계 제조업,기계,-29.49,N/A,N/A
국순당,043650,알코올음료 제조업,음료,98.61,26.38,0.63
엘컴텍,037950,전자부품 제조업,핸드셋,-202.00,N/A,N/A
이오테크닉스,039030,특수 목적용 기계 제조업,반도체와반도체장비,20.53,39.19,2.95
상상인,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",은행,4.87,5.42,0.66
서울제약,018680,의약품 제조업,제약,99.58,18.94,2.37
나노엔텍,039860,의료용 기기 제조업,생명과학도구및서비스,38.27,55.55,4.90
파나진,046210,의료용품 및 기타 의약 관련제품 제조업,생명과학도구및서비스,38.27,41.92,7.01
오공,045060,기타 화학제품 제조업,화학,69.00,10.56,0.98
솔고바이오,043100,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
비츠로테크,042370,기타 금융업,전기장비,-220.85,13.18,1.51
코아시아,045970,반도체 제조업,핸드셋,-202.00,N/A,N/A
정상제이엘에스,040420,일반 교습 학원,교육서비스,-19.84,18.84,1.44
