회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
제이콘텐트리,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업",KSE  코스피 서비스업,FICS  미디어,515.58,62.18,1.79
아톤,158430,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,2.32
녹십자웰빙,234690,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,33.84,265.86,2.89
대신밸런스제7호스팩,332290,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.06
유진스팩5호,331380,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.11
엔지브이아이,093510,자동차 신품 부품 제조업,KONEX,FICS  자동차부품,70.76,-,1.43
케이비제19호스팩,330990,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.09
올리패스,244460,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,-,265.86,29.04
라닉스,317120,반도체 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,-,265.86,6.94
윈텍,320000,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,24.55,265.86,3.59
한독크린텍,256150,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  가정생활용품,20.80,265.86,3.40
아퓨어스,149300,기초 의약물질 및 생물학적 제제 제조업,KONEX,FICS  바이오,-,-,60.34
상상인이안제2호스팩,329560,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.11
네오크레마,311390,기타 식품 제조업,KOSDAQ  코스닥 제조,FICS  식료품,49.73,265.86,1.57
마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업",KOSDAQ  코스닥 제조,FICS  식료품,24.03,265.86,2.29
미래에셋대우스팩3호,328380,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,452.28,22.62,1.07
나노브릭,286750,기초 화학물질 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,5.82
에스피시스템스,317830,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,42.86,265.86,1.89
레이,228670,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,31.58,265.86,6.97
그린플러스,186230,1차 비철금속 제조업,KOSDAQ  코스닥 제조,FICS  금속 및 광물,41.01,265.86,3.38
케어룸의료산업,327970,의료용 기기 제조업,KONEX,FICS  의료 장비 및 서비스,17.73,-,4.40
코윈테크,282880,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,13.05,265.86,2.34
덕산테코피아,317330,기타 화학제품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,27.70,79.95,2.36
슈프리마아이디,317770,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  보안장비,43.93,265.86,1.35
한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,2.63
세경하이테크,148150,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  휴대폰 및 관련부품,10.61,265.86,1.80
윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ  코스닥 제조,FICS  에너지 시설 및 서비스,22.73,265.86,2.19
대모,317850,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,20.76,265.86,0.94
에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,10.10
플리토,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,-,63.90,2.41
이베스트이안스팩1호,323210,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,"2,458.33",22.62,1.07
