,회사명,종목코드,업종,업종2,업종PER,PER,PBR
2027,대원산업,005710,자동차 신품 부품 제조업,자동차부품,46.67,20.93,0.39
2028,큐캐피탈,016600,기타 금융업,창업투자,20.78,25.43,0.68
2029,한국가구,004590,생활용품 도매업,식품과기본식료품소매,128.99,14.33,0.9
2030,포비스티앤씨,016670,기타 전문 도매업,소프트웨어,86.51,,0.79
2031,중앙에너비스,000440,기타 전문 도매업,석유와가스,-13.96,500.59,0.89
2032,DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,18.76,0.61
2033,SGC에너지,005090,전기업,에너지장비및서비스,-35.73,21.91,0.89
2034,삼륭물산,014970,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,717.50,1.82
2035,대림비앤코,005750,"내화, 비내화 요업제품 제조업",건축제품,-47.58,43.16,0.59
2036,경동제약,011040,의약품 제조업,제약,99.58,20.27,1.03
2037,원풍,008370,플라스틱제품 제조업,화학,69.0,13.05,0.68
2038,네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업,음료,98.61,505.71,5.96
2039,삼일기업공사,002290,건물 건설업,건설,7.01,21.96,0.9
2040,일지테크,019540,자동차 신품 부품 제조업,자동차부품,46.67,152.22,0.49
2041,한일화학,007770,기초 화학물질 제조업,화학,69.0,24.19,0.43
2042,한국알콜,017890,기타 화학제품 제조업,화학,69.0,5.97,0.74
2043,대주산업,003310,동물용 사료 및 조제식품 제조업,식품,29.07,20.26,1.32
2044,글로본,019660,상품 종합 도매업,화장품,89.76,,5.43
2045,대한해운,005880,해상 운송업,해운사,116.29,47.79,0.92
2046,메리츠증권,008560,금융 지원 서비스업,증권,6.53,4.75,0.61
2047,세명전기,017510,기타 금속 가공제품 제조업,전기장비,-220.85,25.91,0.91
2048,휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,우주항공과국방,50.8,11.91,0.78
2049,수산중공업,017550,특수 목적용 기계 제조업,기계,-29.49,"5,040.00",2.52
2050,에이티넘인베스트,021080,신탁업 및 집합투자업,창업투자,20.78,12.14,1.37
2051,롯데케미칼,011170,기초 화학물질 제조업,화학,69.0,89.57,0.8
2052,대동기어,008830,특수 목적용 기계 제조업,기계,-29.49,63.95,0.56
2053,세아베스틸,001430,1차 철강 제조업,철강,41.6,30.12,0.28
2054,호텔신라,008770,기타 상품 전문 소매업,"호텔,레스토랑,레저",-25.26,19.35,3.21
2055,태경비케이,014580,"시멘트, 석회, 플라스터 및 그 제품 제조업",비철금속,21.86,31.75,1.02
2056,화승알앤에이,013520,자동차 신품 부품 제조업,자동차부품,46.67,8.89,0.78
2057,신흥,004080,기계장비 및 관련 물품 도매업,건강관리장비와용품,208.42,13.76,1.2
2058,화승인더스트리,006060,플라스틱제품 제조업,"섬유,의류,신발,호화품",33.35,10.11,1.11
2059,극동유화,014530,석유 정제품 제조업,석유와가스,-13.96,9.78,0.66
2060,고려산업,002140,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,12.31,0.99
2061,피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전기제품,206.26,38.66,0.67
2062,대현,016090,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,7.57,0.48
2063,케이비아이동국실업,001620,자동차 신품 부품 제조업,자동차부품,46.67,,0.34
2064,광명전기,017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,11.84,0.95
2065,부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,53.89,2.56
2066,STX,011810,상품 종합 도매업,무역회사와판매업체,12.09,,2.00
2067,고려아연,010130,1차 비철금속 제조업,비철금속,21.86,13.91,1.06
2068,코센,009730,1차 철강 제조업,비철금속,21.86,,3.97
2069,센트럴인사이트,012600,일반 목적용 기계 제조업,컴퓨터와주변기기,-34.95,,8.21
2070,우리들제약,004720,의약품 제조업,제약,99.58,58.76,1.87
2071,무림페이퍼,009200,"펄프, 종이 및 판지 제조업",종이와목재,41.06,,0.28
2072,현대차증권,001500,금융 지원 서비스업,증권,6.53,4.83,0.47
2073,금비,008870,유리 및 유리제품 제조업,포장재,14.81,,0.67
2074,대동전자,008110,통신 및 방송 장비 제조업,전자장비와기기,65.66,235.00,0.36
2075,원림,005820,직물직조 및 직물제품 제조업,포장재,16.84,2.74,0.39
2076,서흥,008490,기타 화학제품 제조업,생명과학도구및서비스,38.27,13.68,1.81
2077,성문전자,014910,전자부품 제조업,전기제품,206.26,,1.37
2078,넥스트사이언스,003580,기타 비금속광물 광업,건축자재,36.34,,1.87
2079,일진홀딩스,015860,기타 금융업,전기장비,-220.85,26.73,0.84
2080,대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,42.44,1.23
2081,영화금속,012280,자동차 신품 부품 제조업,자동차부품,46.67,412.22,1.46
2082,신풍제약,019170,의약품 제조업,제약,99.58,767.65,10.5
2083,동성제약,002210,의약품 제조업,제약,99.58,,4.59
2084,카스,016920,기계장비 및 관련 물품 도매업,전자장비와기기,65.66,140.00,1.24
2085,키위미디어그룹,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,,
2086,한올바이오파마,009420,의약품 제조업,제약,99.58,68.17,7.82
2087,하이록코리아,013030,1차 철강 제조업,기계,-29.49,21.57,0.6
2088,유니켐,011330,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,9.16,1.08
2089,대창,012800,1차 비철금속 제조업,비철금속,21.86,29.52,0.63
2090,국보,001140,도로 화물 운송업,항공화물운송과물류,12.6,79.50,2.22
2091,일성건설,013360,토목 건설업,건설,7.01,34.74,0.77
2092,까뮤이앤씨,013700,건물 건설업,건설,7.01,12.42,1.83
2093,보락,002760,기타 화학제품 제조업,식품,29.07,240.00,2.95
2094,선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,21.01,0.65
2095,씨아이테크,004920,그외 기타 제품 제조업,컴퓨터와주변기기,-34.95,,0.50
2096,광동제약,009290,의약품 제조업,제약,99.58,8.96,0.79
2097,갤럭시아에스엠,011420,스포츠 서비스업,방송과엔터테인먼트,-19.04,,1.87
2098,남성,004270,기타 전문 도매업,전자장비와기기,65.66,,1.45
2099,KISCO홀딩스,001940,1차 철강 제조업,철강,41.6,5.31,0.26
2100,태영건설,009410,토목 건설업,건설,7.01,1.59,0.8
