,회사명,종목코드,업종,업종2,업종PER,PER,PBR
344,현대자동차,005380,자동차용 엔진 및 자동차 제조업,자동차,58.96,58.54,0.92
345,아세아,002030,회사 본부 및 경영 컨설팅 서비스업,포장재,16.84,5.66,0.22
346,하이트진로홀딩스,000140,기타 금융업,음료,98.61,8.94,0.71
347,노루홀딩스,000320,기타 금융업,건축자재,36.34,24.38,0.31
348,효성,004800,기타 금융업,복합기업,29.11,17.86,0.75
349,CJ,001040,기타 금융업,복합기업,29.11,16.31,0.69
350,두산,000150,회사 본부 및 경영 컨설팅 서비스업,복합기업,29.11,10.62,0.55
351,DB손해보험,005830,보험업,손해보험,6.87,4.96,0.35
352,롯데푸드,002270,낙농제품 및 식용빙과류 제조업,식품,29.07,5.9,0.46
353,한솔홀딩스,004150,기타 금융업,종이와목재,41.06,8.51,0.33
354,대한제분,001130,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,9.5,0.32
355,대상,001680,기타 식품 제조업,식품,29.07,6.4,0.87
356,LG,003550,기타 금융업,복합기업,29.11,15.55,0.94
357,동아쏘시오홀딩스,000640,기타 금융업,제약,99.58,27.83,0.9
358,코리안리,003690,재 보험업,손해보험,6.87,6.39,0.33
359,한국주철관공업,000970,1차 철강 제조업,철강,41.6,19.06,0.66
360,한일홀딩스,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,11.49,0.24
361,엔피씨,004250,플라스틱제품 제조업,화학,69.0,10.23,0.51
362,대한제당,001790,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,9.23,0.4
363,삼양홀딩스,000070,기타 금융업,식품,29.07,19.26,0.49
364,한국테크놀로지그룹,000240,기타 금융업,자동차부품,46.67,18.53,0.61
365,메리츠화재,000060,보험업,손해보험,6.87,4.41,0.61
366,경방,000050,종합 소매업,"섬유,의류,신발,호화품",33.35,7.49,0.43
